SMILES,pKa_accepted,SMARTS pKa,SPARC,MARVIN,ACD,ADME Boxes,Consensus
S1CC([NH+]=C1C(C)C)CC,5.28,5.1550002,7.31,5.49,5.34,5.4,5.41
S1CC[NH+]=C1,5.22,5.6199999,6.64,6.06,5,5.4,5.6933333
S=C1Oc2c([NH2+]1)cccc2,6.33,5.875,17.03,10.84,11.03,7.2,9.69
SC(C)(C)C,11.2,11.275,10.09,10.02,10.76,,10.70833333
SCCC(OCC)=O,9.48,8.9700003,9.35,10.11,9.75,9.6,9.306666767
Sc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],3.4,4.6500001,3.49,4.39,3.15,4.2,4.413333367
Sc1ccc(cc1)C(=O)C,5.33,5.0599999,5.36,6.02,5.37,5.3,5.343333333
Sc1ccccc1C,6.64,6.6099997,6.02,6.78,6.83,6.8,6.803333333
[NH+](C(C#C)(C)C)(C(C)C)C,8.7,8.6000004,9.2,8.39,8.6,8,8.530000133
[NH+](C)(C)C1CCC(CC1)C,10.46,10.031,10.03,10.22,10.73,10,10.02033333
[NH+](CC)(CC)C,10.46,10.031,10.08,9.97,10.55,10,10.00033333
[NH+](CCC)(CCC)CCC,10.53,10.581667,10.2,10.82,9.99,10,10.19055567
[NH+]1(C2CCCC1=CCC2)C,8.8,10.184999,9.2,8.44,8.64,11.5,9.088333
[NH+]1(CCCC1)C,10.46,10.376667,10.11,9.48,10.55,10.4,10.35333333
[NH+]1(CCCCC1C)CC,10.68,10.46,10.09,10.34,10.05,10.5,10.16
[NH+]12CC3(CC(CC(C3)(C1)C)(C2)C)C,10.7,11.106667,10.08,9.27,10.17,9.6,9.95
[NH2+](C(C)(C)C)c1ccccc1,7.08,6.7255559,5.4,5.02,6.89,6.9,6.838518633
[NH2+](C(C)C)c1ccccc1,5.64,5.5666666,5.2,5.08,5.82,5.8,5.606666667
[NH2+](C(CC)C)C(CC)C,10.91,10.25,10.6,10.93,11.12,11.1,10.82333333
[NH2+](CC)c1ccccc1C,4.92,5.1100001,5.08,4.76,4.99,5.1,5.0966667
[NH2+](CCCCC)CCCCC,11.18,11.056666,10.08,10.75,11.25,10.6,10.802222
[NH2+](CCCCC)c1ccccc1,5.16,5.1550002,5.21,5.01,5.05,5.1,5.053333333
[NH2+]1CC1c1ccc(cc1)C,6.76,7.73,8.12,6.98,7.39,9.5,7.366666667
[NH2+]1CCCC1C1CCCCC1,10.79,10.882222,10.88,11.66,11.26,10.6,10.78740733
[NH3+]C12C3C4C1C1C2C3C14,8.66,9.6049995,10.4,10.14,10.73,8.9,10.42333333
[NH3+]CCC#N,7.7,7.7066665,7.81,7.85,7.14,7.7,7.786666667
[NH3+]CCCCCC,10.7,10.656112,10.41,10.21,10.69,10.6,10.648704
[NH3+]c1c2c(ccc1)cccc2,3.92,4.0150003,4.46,4.13,3.94,3.9,3.99
[NH3+]c1cc2-c3c(Cc2cc1)ccc1c3cccc1,4.67,4.2674999,4.89,4.33,4.79,4.2,4.649166633
[NH3+]c1ccccc1CCC,4.36,4.3383336,4.37,4.28,4.06,4.2,4.329444533
[P+](CC(O)=O)(c1ccccc1)(c1ccccc1)c1ccccc1,1.77,3.0450001,3.94,3.02,1.75,1.8,2.198333367
[S+](C)(C)c1ccc(O)cc1,7.33,7.6350002,,5.89,8.14,7.5,7.7583334
[Si](O[Si](CCCC(O)=O)(C)C)(CCC(F)(F)F)(CCC(F)(F)F)CCC(F)(F)F,4.95,4.9666667,,4.24,4.83,4.9,4.8988889
[Si]([NH+]([Si](C)(C)C)[Si](C)(C)C)(C)(C)C,9.3,6.7810001,,14.45,15.65,10,10.41033337
[Si]=1([SiH]([NH+](C)C(C)=C(C)C=1C)C)C,7.55,4.0550003,,10.26,,8,7.438333433
[nH+]1c2c3c(ccc2ccc1)cccc3,4.15,4.8666668,4.21,3.55,4.25,4.3,4.253333333
[nH+]1cc(C)c(cc1)C,6.62,6.5666666,6.19,6.33,6.19,6.5,6.236666667
[nH+]1ccc(cc1C)C,6.79,6.5433331,6.42,6.58,6.62,6.6,6.6
o1cc(cc1)-c1cc[nH+]cc1,5.72,5.6599998,7.13,4.56,6.32,5.1,5.1066666
s1c(ccc1[N+](=O)[O-])C(O)=O,2.68,2.9549999,2.51,3.26,2.4,2.7,2.536666667
s1cc(OC)cc1C(O)=O,3.41,3.4433334,3.33,3.31,3.81,3.4,3.346666667
s1cc(cc1)CC(O)=O,4.07,4.059,4.34,4.04,4.25,4,4.216333333
s1cccc1C(=O)\C=C(/O)\C(F)(F)F,3.95,4.5894327,3.8,-1.78,8.1,6.2,6.296477567
s1cccc1\C=C\C(O)=O,4.25,4.2833333,4.32,3.58,4.34,4.4,4.314444433
